"","jpg_names","Abbr"
"1","NBA courts/Atlanta-Hawks.jpg","ATL"
"2","NBA courts/Boston-Celtics.jpg","BOS"
"3","NBA courts/Brooklyn-Nets.jpg","BKN"
"4","NBA courts/Charlotte-Hornets.jpg","CHA"
"5","NBA courts/Chicago-Bulls.jpg","CHI"
"6","NBA courts/Cleveland-Cavaliers.jpg","CLE"
"7","NBA courts/Dallas-Mavericks.jpg","DAL"
"8","NBA courts/Denver-Nuggets.jpg","DEN"
"9","NBA courts/Detroit-Pistons.jpg","DET"
"10","NBA courts/Golden-State-Warriors.jpg","GS"
"11","NBA courts/Houston-Rockets.jpg","HOU"
"12","NBA courts/Indiana-Pacers.jpg","IND"
"13","NBA courts/Los-Angeles-Clippers.jpg","LAC"
"14","NBA courts/Los-Angeles-Lakers.jpg","LAL"
"15","NBA courts/Memphis-Grizzlies.jpg","MEM"
"16","NBA courts/Miami-Heat.jpg","MIA"
"17","NBA courts/Milwaukee-Bucks.jpg","MIL"
"18","NBA courts/Minnesota-Timberwolves.jpg","MIN"
"19","NBA courts/New-Orleans-Pelicans.jpg","NO"
"20","NBA courts/New-York-Knicks.jpg","NY"
"21","NBA courts/Oklahoma-City-Thunder.jpg","OKC"
"22","NBA courts/Orlando-Magic.jpg","ORL"
"23","NBA courts/Philadelphia-76ers.jpg","PHI"
"24","NBA courts/Phoenix-Suns.jpg","PHO"
"25","NBA courts/Portland-Trail-Blazers.jpg","POR"
"26","NBA courts/Sacramento-Kings.jpg","SAC"
"27","NBA courts/San-Antonio-Spurs.jpg","SA"
"28","NBA courts/Toronto-Raptors.jpg","TOR"
"29","NBA courts/Utah-Jazz.jpg","UTA"
"30","NBA courts/Washington-Wizards.jpg","WAS"
